Title,Description,Source,Published Date,URL,Sentiment Score,Transport Status,Lead Time (days),Geopolitical Risk,route_risk_level,Risk Factor
"Fernanda Torres and Sebastian Stan Join Ariana Grande, Karla Sofï¿½a Gascï¿½n, and More at Santa Barbara Tribute (Exclusive)","Fernanda Torres and Sebastian Stan will join the Santa Barbara Film Festival's Virtuosos panel, which also includes Karla Sofï¿½a Gascï¿½n.",IndieWire,03-02-2025 23:30,https://www.indiewire.com/news/festivals/fernanda-torres-sebastian-stan-join-santa-barbara-virtuosos-panel-1235091269/,0.0,Pending,1,Medium,8.266274357,Medium
"ï¿½No Other Landï¿½ Doesnï¿½t Have a U.S. Distributor, but Is Still the Yearï¿½s Highest-Grossing Oscar-Nominated Documentary",'No Other Land' about the Palestinian-Israeli conflict is the highest grossing documentary of the five features nominated for an Oscar in 2025.,IndieWire,28-02-2025 00:00,https://www.indiewire.com/news/box-office/no-other-land-box-office-oscars-1235099277/,0.03125,On Time,5,High,9.237616365,High
The Good Stuff: A Newcomerï¿½s Guide to Vodka,"| This versatile clear spirit can elevate artisan cocktails, but the finest examples are best enjoyed neat.",Coolmaterial.com,13-02-2025 19:50,https://coolmaterial.com/lifestyle/drinks/vodka-beginners-guide/,0.533333333,Pending,9,Low,0.113931177,Low
Oscar Nominees List Finalized As Academy Names All Producers For Best Picture & Two Other Categories,"The Academy of Motion Picture Arts and Sciences has revealed all the producers for its Best Picture nominees, along with the missing names for a couple of other categories. The producers vying for Best Picture are Nick Gordon, Brian Young, Andrew Morrison, D.ï¿½",Deadline,11-02-2025 04:35,http://deadline.com/2025/02/oscar-nominees-list-finalized-2025-1236284871/,0.355,Pending,14,Medium,6.514809921,Medium
"Teen boy reaped, killed by sugarcane harvester","<p>KAMPAENGPHET &ndash; A 15-year-old <strong>boy </strong>taking a nap in a&nbsp;<strong>sugarcane</strong> field was unknowingly scooped up, <strong>chopped </strong>and <strong>killed </strong>by a giant <strong>harvester </strong>on Tuesday.</p>",Bangkok Post,12-02-2025 11:52,https://www.bangkokpost.com/thailand/general/2959591/teen-boy-reaped-killed-by-sugarcane-harvester,0.0,Delayed,23,High,8.063418596,High
"Oscars 2025: Your guide to this year's twist-filled race, the films to watch and who to root for","The road to this year's Academy Awards has had plenty of twists and turns, so let CBC's Eli Glasner be your guide to the upcoming Oscars race, including what films to watch and who to root for.",CBC News,22-02-2025 08:34,https://www.cbc.ca/news/entertainment/oscars-2025-viewing-guide-1.7465517,0.0,Delivered,25,Low,6.470332522,Medium
DGA Awards Winners List (Updating Live Throughout the Night),Oscar frontrunners like Brady Corbet and Jacques Audiard are set to face off in a ceremony that could predict the Best Director race.,IndieWire,09-02-2025 07:46,https://www.indiewire.com/awards/results/dga-awards-2025-winners-list-1235093213/,1.0,In Transit,21,Medium,7.07142169,Medium
Haven't had time to watch all the Oscars films? We've got you covered,"The 97th Academy Awards are going forward as a celebration of movies and resilience, with Canadians up for numerous Oscars. This year's Oscar nominations were postponed twice after devastating wildfires tore through Los Angeles, leading some to call for the cï¿½",CBC News,20-02-2025 02:37,https://www.cbc.ca/news/entertainment/oscars-academy-awards-2025-1.7462790,-0.5,Delivered,16,High,9.997773852,High
Williams Lake First Nation calls on feds to support revitalization of former residential school site,"The call comes as Williams Lake First Nation Kï¿½kwpi7 (Chief) Willie Sellars heads to Los Angeles for the Academy Awards, where the film Sugarcane, which explores the history of St. Joseph's Mission, is nominated for Best Documentary Feature.",CBC News,01-03-2025 02:13,https://www.cbc.ca/news/canada/british-columbia/williams-lake-first-nation-st-joseph-s-mission-sugarcane-federal-money-revitalization-1.7471484,0.416666667,In Transit,2,Low,6.557089272,Medium
42West Promotes Five To Vice President,"EXCLUSIVE: Public relations firm 42West has elevated five longtime publicity pros in its Entertainment Marketing Division to VP. The list includes Taylor James, Kate Lowell, Kabeer Malhotra, Stacey Tesser and Nesma Youssef. 42Westï¿½s Entertainment Marketing Diï¿½",Deadline,28-02-2025 01:25,http://deadline.com/2025/02/42west-promotions-1236304124/,-0.1,Pending,15,Medium,0.529171858,Low
"ï¿½No Other Landï¿½ Directors Denounce Trump Gaza Takeover Plan: ï¿½It Is So Irresponsible, Itï¿½s So Immoralï¿½","The directors of the Oscar-nominated documentary No Other Land are sharply criticizing Pres. Trumpï¿½s plan for the U.S. to take control of Gaza and dispatch its Palestinian inhabitants to other Arab countries. In an interview with Deadline, Israeli filmmaker Yï¿½",Deadline,14-02-2025 21:24,http://deadline.com/2025/02/no-other-land-directors-denounce-trump-gaza-takeover-plan-1236289270/,-0.046875,Delayed,15,High,8.911923669,High
Hulu Celebrates Oscar-Nominated Films,"""A Real Pain,"" ""Alien: Romulus,"" ""Kingdom of the Planet of the Apes,"" and ""Sugarcane"" are already available to stream while ""Anora"" is due on Monday, March 17.",Thefutoncritic.com,28-02-2025 18:02,http://www.thefutoncritic.com/news/2025/02/28/hulu-celebrates-oscar-nominated-films-864212/20250228hulu01/,0.05625,Delivered,10,Low,9.292029752,Medium
"What will win, and what should win, at the Oscars this Sunday","Film critics make for notoriously spotty Oscar soothsayers. We sometimes prognosticate with our hearts instead of our heads. Weï¿½re often too close to a year in movies to guess what a bunch of industry professionals might decide are its highlights. That said, ï¿½",Digital Trends,25-02-2025 23:43,https://www.digitaltrends.com/movies/oscars-2025-predictions/,0.0,Pending,2,Medium,2.265379118,Low
Donï¿½t miss Ankerï¿½s 240W 10-foot USB-C Bio-braided cable for your gear while theyï¿½re down at $12,"Anker 240W 10-foot Bio USB-C Braided Cable



Buy for $12 (Reg. $17)














What we love




Ankerï¿½s Bio-Braided cables are a greener option than standard nylon braided cables. Theyï¿½re made with 40% plant-based materials, such as corn and sugarcane.ï¿½",9to5Toys,06-02-2025 23:15,http://9to5toys.com/2025/02/06/anker-240w-10-foot-usb-c-bio-braided-cable-at-12/,0.166666667,Pending,21,High,3.139893934,High
"ï¿½Anoraï¿½ Wins Best Feature, Director, and Lead Performance at 2025 Spirit Awards: Full Winners List",The 2025 Indie Spirit Awards winners: Full list updating live as the 40th Film Independent event kicks off from the tent on Santa Monica beach.,IndieWire,23-02-2025 05:53,https://www.indiewire.com/awards/results/2025-film-independent-spirit-awards-winners-full-list-1235097649/,0.121590909,On Time,26,Low,0.358403942,Low
Rockhouse Hotel Celebrates 50th Anniversary With Exclusive New Rum,"Rockhouse Rum is a single estate, 18 year, double-aged rum in partnership with Worthy Park that guests can sip during a stay at the Rockhouse Hotel in Negril.",Forbes,04-02-2025 22:30,https://www.forbes.com/sites/jilliandara/2025/02/04/rockhouse-hotel-celebrates-50th-anniversary-with-exclusive-new-rum/,0.130952381,Delayed,11,Medium,9.981661453,Medium
Covering Up the Present in a Ghost Forest,Artist Serena Chang helps us see that in the act of remembering weï¿½re often uncovering more than our own past.,Hyperallergic,07-02-2025 03:27,http://hyperallergic.com/988468/covering-up-the-present-in-a-ghost-forest/,0.283333333,In Transit,7,High,3.529957157,High
Climate change is scorching the cocoa belt ï¿½ and youï¿½re paying the price,"Rising temperatures, erratic rainfall, and other climate impacts are throttling cocoa production and driving up chocolate prices.",Grist,14-02-2025 14:45,http://grist.org/food-and-agriculture/climate-change-is-scorching-the-cocoa-belt-and-youre-paying-the-price/,-0.125,On Time,13,Low,2.797060648,Low
EUï¿½s Von der Leyen issued with colonial reparations demand,"Former colonies are not seeking a handout but an ï¿½appropriate apology,ï¿½ the Grenadian prime minister has said Read Full Article at RT.com",RT,21-02-2025 20:57,https://www.rt.com/news/613116-caribbean-eu-slave-reparations/,0.283333333,On Time,16,Medium,6.427956872,Medium
Transform Your Living: Convertible Designs And The Future of Interior Design,"Transform Your Living: Convertible Designs And The Future of Interior DesignIn todayï¿½s fast-paced world, where space is often at a premium and versatility is key, convertible designs have become more than just a trendï¿½they are...",Yanko Design,02-02-2025 18:10,https://www.yankodesign.com/2025/02/02/transform-your-living-convertible-designs-and-the-future-of-interior-design/,0.166666667,Delayed,30,High,9.995770295,High
One of the Best Oscar Nominated Documentaries Is Streaming Now on Disney+,"When most people sign up for a Disney+ subscription, theyï¿½re probably thinking about catching up with Disney Channel Originals they loved as kids or watching the latest Marvel movie at home. For most, Disney+ means access to endless streams of frothy entertaiï¿½",Den of Geek US,28-02-2025 19:30,https://www.denofgeek.com/movies/one-of-best-oscar-documentaries-streaming-now-disney/,0.445833333,Pending,2,Low,9.37617324,Medium
"Eat Wonderfully Crispy, Netted Egg Rolls at This East San Jose Restaurant","SJ Eggrolls specializes in lacy, wrapped ch? giï¿½ r?, or netted egg rolls",Eater,19-02-2025 00:05,https://sf.eater.com/2025/2/18/24367952/sj-eggrolls-restaurant-open-east-san-jose,0.0,On Time,5,Medium,5.628113809,Medium
"The Art Of ï¿½Chinchorreo,ï¿½ Or Puerto Rican Bar Hopping",A clueless gringo recounts their first time participating in one of Puerto Rico's most treasuredï¿½and booziestï¿½traditions.,Forbes,25-02-2025 22:14,https://www.forbes.com/sites/jaredranahan/2025/02/25/the-art-of-chinchorreo-or-puerto-rican-bar-hopping/,0.375,On Time,25,High,0.197517269,High
"Coralie Fargeat, RaMell Ross and More Attend Our Virtual Oscar Nominees Luncheon | Exclusive Photos","TheWrap magazine: Diane Warren, Kris Bowers, Shiori Ito, Volker Bertelmann and more nominees raised a glass at our second virtual fï¿½te honoring Oscar contenders 
The post Coralie Fargeat, RaMell Ross and More Attend Our Virtual Oscar Nominees Luncheon | Excluï¿½",TheWrap,11-02-2025 00:30,https://www.thewrap.com/virtual-oscar-nominees-luncheon-gallery-2025/,0.333333333,In Transit,24,Low,9.537544906,Medium
"Tea, cotton, apple, and sugarcane: Optimising crop health during the critical sowing season","Enhance crop yields through proper sowing techniques, soil management, irrigation, and high-quality inputs to maximize productivity.",BusinessLine,23-02-2025 09:30,https://www.thehindubusinessline.com/economy/agri-business/tea-cotton-apple-and-sugarcane-optimising-crop-health-during-the-critical-sowing-season/article69248790.ece,0.0,On Time,27,Medium,3.908956427,Low
Sweet and sour: Navigating the shifting sands of Indiaï¿½s ethanol policy,"India's ethanol program shifts focus to grain-based feedstocks, impacting sugar industry, farmers, and sustainability goals. Adaptation and balance are key.",BusinessLine,16-02-2025 09:30,https://www.thehindubusinessline.com/economy/agri-business/sweet-and-sour-navigating-the-shifting-sands-of-indias-ethanol-policy/article69223344.ece,0.0,In Transit,28,High,8.242156172,High
Predicting Ag Harvest using ArcGIS and Machine Learning,"Accurately predicting agricultural harvest with ArcGIS Pro using satellite imagery, historic yield, climate variables, field data.",Esri.com,28-02-2025 20:07,https://www.esri.com/arcgis-blog/products/arcgis-pro/natural-resources/predict-ag-harvest/,0.2,Delivered,8,Low,1.268835064,Low
Anonymous Oscar Voter Shares Brutally Honest Ballot...,"This member of the Academy's short films branch also says that 'No Other Land' deserved a best picture nom and got his vote for best doc feature: ""It moved me so much. I wasnï¿½t really aware of what was going on over there [in the West Bank], and it's just so ï¿½",Hollywood Reporter,24-02-2025 06:43,http://www.hollywoodreporter.com/movies/movie-news/brutally-honest-oscar-ballot-conclave-emilia-perez-lost-vote-1236144653/,0.41875,Delivered,6,Medium,9.790568609,Medium
How to watch the 2025 Oscars in Canada,"The 2025 Oscars are nearly here. The 97th Academy Awards will be held live in Los Angeles on Sunday, March 2, at 4 p.m. PST/7 p.m. EST. Comedian Conan Oï¿½Brien will host for the first time. Read on for everything you need to know about Hollywoodï¿½s biggest nighï¿½",MobileSyrup,25-02-2025 02:07,https://mobilesyrup.com/2025/02/24/how-to-watch-the-2025-oscars-in-canada/,0.162121212,Pending,5,High,9.7669407,High
Oscar-nominated documentary exposes horrifying truths about Indian residential schools,"The discovery of hundreds of unmarked graves at an Indian residential school in Canada in 2021 was just the catalyst for ï¿½Sugarcane.""",ABC News,14-02-2025 21:36,https://abcnews.go.com/Entertainment/wireStory/oscar-nominated-documentary-exposes-horrifying-truths-indian-residential-118828230,0.0,On Time,5,Low,9.754342981,Medium
Four killed when pilgrimage van rear-ends truck,"<p>NAKHON SAWAN - Four people were killed, one a monk, and five others injured when a van taking them on a pilgrimage rear-ended a trailer truck in Tha Tako district of this northern province on Wednesday morning.</p>",Bangkok Post,26-02-2025 13:24,https://www.bangkokpost.com/thailand/general/2968546/four-killed-when-pilgrimage-van-rear-ends-truck,-0.2,On Time,1,Medium,1.716635402,Low
Drink of the Week: Ron Carï¿½pano 18 Reserva Limitada,"An award-winning rum for sipping and mixing.
The post Drink of the Week: Ron Carï¿½pano 18 Reserva Limitada appeared first on Imbibe Magazine.",Imbibemagazine.com,14-02-2025 21:19,https://imbibemagazine.com/drink-of-the-week-ron-carupano-18-reserva-limitada/,0.25,In Transit,30,High,9.190504288,High
"Govtï¿½s sugar export policy keeps prices stable, but ethanol woes persist: Balrampur Chini ED","Avantika Saraogi of Balrampur Chini Mills discusses sugar prices, ethanol rates, and future plans for a PLA plant.",BusinessLine,10-02-2025 15:42,https://www.thehindubusinessline.com/economy/agri-business/govts-sugar-export-policy-keeps-prices-stable-but-ethanol-woes-persist-balrampur-chini-ed/article69199738.ece,0.0,In Transit,20,Low,1.238558307,Low
Australia Urges Residents in Northeast to Evacuate on Flood Risk,Australian officials urged residents in the northeastern city of Townsville and adjacent areas to evacuate as torrential rains raised the risk of a flood disaster in the area. Some parts of the north in Queensland state have had more than ï¿½,Insurance Journal,03-02-2025 16:51,https://www.insurancejournal.com/news/international/2025/02/03/810469.htm,0.25,In Transit,21,Medium,9.99175304,Medium
Who Won the 2025 Indie Spirit Awards?,"Independent film is alive and well in Hollywood. Some of the year's best movies were made as indies, and some of the hidden gems were nominated for Indie Spirit Awards. I love the Spirit Awards; it's a dream to go to them someday. There's an electricity in thï¿½",Nofilmschool.com,23-02-2025 06:15,https://nofilmschool.com/the-2025-indie-spirit-awards,0.238888889,On Time,25,High,9.595970955,High
Addressing the economic challenges faced by Indiaï¿½s sugar industry,"Indian sugar industry faces challenges like low productivity, policy inconsistencies, and high production costs, impacting its long-term sustainability and competitiveness.",BusinessLine,15-02-2025 09:00,https://www.thehindubusinessline.com/economy/agri-business/addressing-the-economic-challenges-faced-by-indias-sugar-industry/article69220766.ece,0.02,Delayed,14,Low,9.921628077,Medium
And the Oscar for Darkest Documentary Goes toï¿½,"In a heavy year for the category, at least one nominee had our reviewer break down sobbing.",Foreign Policy,15-02-2025 01:10,https://foreignpolicy.com/2025/02/14/oscars-documentary-academy-awards-nominees/,-0.218518519,In Transit,25,Medium,9.832467544,Medium
Bio-Based Resin Pouches - Accredo Packaging Debuts a Groundbreaking 100% Bio-Based Resin Pouch (TrendHunter.com),"(TrendHunter.com) Accredo Packaging, in collaboration with Fresh-Lockï¿½ closures, has unveiled a groundbreaking 100% bio-based resin pouch at Pack Expo 2024. Made entirely from sugarcane-derived resin, this...",Cleanthesky.com,15-02-2025 16:01,https://www.cleanthesky.com/innovation/biobased-resin-pouch,0.0,On Time,20,High,9.814143297,High
Aer Lingus updates its transatlantic amenities,"Aer Lingus is updating its amenities for its passengers, with some improvements both in its business and economy class cabins. In Business Class Dining options will change with theï¿½introduction of a new seasonal spring menu. On westbound flights, the new Busiï¿½",Boardingarea.com,10-02-2025 17:03,https://economyclassandbeyond.boardingarea.com/2025/02/10/aer-lingus-updates-its-transatlantic-amenities/,0.136363636,In Transit,12,Low,4.083034181,Low
Aer Lingus Rolls Out New Transatlantic Flight Enhancements Across Cabins,"Aer Lingus announced today that itï¿½s refreshing its onboard menus across cabins and debutingï¿½
The post Aer Lingus Rolls Out New Transatlantic Flight Enhancements Across Cabins appeared first on The Bulkhead Seat.",Thebulkheadseat.com,10-02-2025 21:25,https://thebulkheadseat.com/aer-lingus-rolls-out-new-transatlantic-flight-enhancements-across-cabins/,0.295454545,In Transit,5,Medium,9.30535755,Medium
Are paper straws gluten free?,"Are Paper Straws Gluten-Free? Understanding the Gluten-Free Question Paper straws have become a popular alternative to traditional plastic straws, especially [ï¿½]
The post Are paper straws gluten free? appeared first on Life Sciences World.",Lifesciencesworld.com,03-02-2025 19:19,https://lifesciencesworld.com/are-paper-straws-gluten-free/,0.25,In Transit,14,High,9.954297311,High
HOKA Has Made Its Transport Sneaker Even More Street-Friendly,Complete with a zippered shroud made from water-resistant ripstop material.,Hiconsumption.com,11-02-2025 06:03,https://hiconsumption.com/style/hoka-project-transport/,0.1,On Time,5,Low,0.02401465,Low
What in the World?,"Test yourself on the week of Feb. 22: Germany votes, Britain ups defense spending, and Bolivia inaugurates a new plant.",Foreign Policy,01-03-2025 01:52,https://foreignpolicy.com/2025/02/28/foreign-policy-news-quiz-germany-election-afd-starmer-defense-spending-israel-gaza-plan-trump-taliban/,0.136363636,On Time,17,Medium,9.960501596,Medium
Will Ferrell issues brilliant response to Oscars snubbing trans film Will & Harper,"Actor Will Ferrell has responded to his documentary Will & Harper being snubbed at the 2025 Oscars. Feature-length Netflix documentary Will & Harper follows Elf star Ferrell on a cross-country road trip of America, alongside his best friend of nearly 30 yearsï¿½",Thepinknews.com,05-02-2025 18:17,https://www.thepinknews.com/2025/02/05/will-ferrell-oscars-snubbing-trans-doc-will-harper/,0.275,Delivered,18,High,9.897455442,High
Feedstock economics and policy implications for Indiaï¿½s ethanol sector,"Comprehensive analysis of Indian ethanol production landscape, government policies, feedstock economics, and key factors shaping market dynamics.",BusinessLine,15-02-2025 09:30,https://www.thehindubusinessline.com/economy/agri-business/feedstock-economics-and-policy-implications-for-indias-ethanol-sector/article69220611.ece,0.0,Delivered,15,Low,7.730338381,Medium
Firm domestic prices and improvement in realisations to drive performance of sugar companies,"The performance of sugar companies is expected to improve significantly from the March 2025 quarter, aided by a jump in sugar prices. Sugar prices increased sharply in January 2025 to Rs.39,000-39,500 per tonne, compared to around Rs.38,000 per tonne in the Dï¿½",The Times of India,10-02-2025 06:30,https://economictimes.indiatimes.com/wealth/invest/firm-domestic-prices-and-improvement-in-realisations-to-drive-performance-of-sugar-companies/articleshow/118050096.cms,0.05,Pending,30,Medium,8.024841045,Medium
Truth and Reconciliation: Ten Books That Explore South Africaï¿½s Identity,"In 1996, I lived in South Africa and bore witness to testimony given during the Truth and Reconciliationï¿½s Amnesty Hearings. I was a law student interning at a local law firm and took copious notes during the hearing for a paper I would need to write upon my ï¿½",Lithub.com,11-02-2025 15:27,https://lithub.com/truth-and-reconciliation-ten-books-that-explore-south-africas-identity/,-0.1,Pending,24,High,0.725939086,High
"On the Menu: Valerie, Madame George, and Lolita","This trio of Manhattan bars offer distinctive takes on cocktails.
The post On the Menu: Valerie, Madame George, and Lolita appeared first on Imbibe Magazine.",Imbibemagazine.com,10-02-2025 21:15,https://imbibemagazine.com/on-the-menu-manhattan-bars-valerie-madame-george-and-lolita/,0.25,Pending,16,Low,2.619404995,Low
Pete Hammondï¿½s Final Oscar Predictions In All 23 Categories,"And now for the final word on who will win the gold Sunday at the 97th Oscars. Since Cannes in May I have been reviewing the movies, assessing their awards potential, predicting the Oscar nominations, and now finally here is my best and FINAL guess as to who ï¿½",Deadline,27-02-2025 20:30,http://deadline.com/2025/02/oscars-2025-predictions-1236302898/,0.3,Pending,7,Medium,8.14568062,Medium
Cooperative-private participation: Unlocking the potential of sugar factories as bio-energy hubs,"The success hinges on robust policies, transparent agreements, and an unwavering commitment to protecting the interests of farmers and rural communities",BusinessLine,01-03-2025 10:00,https://www.thehindubusinessline.com/economy/agri-business/cooperative-private-participation-unlocking-the-potential-of-sugar-factories-as-bio-energy-hubs/article69276502.ece,0.15,Delivered,18,High,9.294339139,High
"India's sugar production set to dip by 12 pc in 2025 season, forecast below 27 MMT","Sugar production in India is expected to decline significantly in the 2025 season, dropping below 27 million metric tons due to increased ethanol production and reduced cane availability. Despite challenges, sugar prices remain strong, providing a boost to seï¿½",The Times of India,02-02-2025 14:48,https://economictimes.indiatimes.com/news/economy/agriculture/indias-sugar-production-set-to-dip-by-12-pc-in-2025-season-forecast-below-27-mmt/articleshow/117855901.cms,0.145833333,In Transit,24,Low,9.998420093,Medium
GALECA: The Society of LGBTQ Entertainment Criticsï¿½ 16th Annual Dorian Film Award Winners,"Darlings, once again, the most fabulous film awards body in existence, GALECA, The Society of LGBTQ Entertainment Critics, of which we are both members, today announced the winners of the 16th Dorian Film Awards. As always, if you agree with these choices, yoï¿½",tomandlorenzo.com,14-02-2025 00:30,https://tomandlorenzo.com/2025/02/galeca-the-society-of-lgbtq-entertainment-critics-16th-annual-dorian-award-film-winners/,0.45,Pending,26,Medium,9.741579055,Medium
ï¿½Sugarcaneï¿½ exposes horrifying abuse of Native children in Canadian schools,"An investigation at an Indian residential school in Canada is the focus of the documentary, ï¿½Sugarcane,"" named after a Native reservation in British Columbia. The film is up for an Academy Award, and has already made history: it's the first time an Indigenousï¿½",PBS,18-02-2025 04:55,https://www.pbs.org/newshour/show/sugarcane-exposes-horrifying-abuse-of-native-children-in-canadian-schools,0.083333333,Delayed,28,High,8.002468869,High
97 Top Winter 2025 Skincare Launches,"Nourish dry winter skin with the best new cleansers, serums, moisturizers, masks and more.",Forbes,26-02-2025 21:30,https://www.forbes.com/sites/celiashatzman/2025/02/26/the-top-winter-2025-skincare-launches/,0.392424242,Delayed,18,Low,7.303123779,Medium
Tackling roots of PM2.5 in Thailand,"<p><strong>Haze</strong> pollution was a chronic problem nationwide, long before the capital was blanketed in <strong>PM2.5</strong> pollutants over the past few weeks.</p>",Bangkok Post,02-02-2025 04:20,https://www.bangkokpost.com/thailand/special-reports/2952621/tackling-roots-of-pm2-5-in-thailand,-0.166666667,On Time,7,Medium,9.887478225,Medium
Pune Bus Rape Accused Detained: Police,"A man who allegedly raped a 26-year-old woman inside a bus at Pune&#039;s Swargate bus station was detained in Shirur Tehsil on Friday, police said.",NDTV News,28-02-2025 04:30,https://www.ndtv.com/pune-news/pune-rape-accused-dattatray-gade-detained-from-shirur-police-7811735,-0.1,Delayed,25,High,0.017693668,High
AI takes root: Microsoftï¿½s Farm Vibes revolutionising agriculture in Baramati,An ambitious experiment has been unfolding in the Pune district under the banner of Project Farm Vibesï¿½a revolutionary suite of farm-focused technologies developed by Microsoft Research.,BusinessLine,24-02-2025 12:53,https://www.thehindubusinessline.com/economy/agri-business/ai-takes-root-microsofts-farm-vibes-revolutionising-agriculture-in-baramati/article69257305.ece,0.175,Delayed,24,Low,7.748256854,Medium
"How Neck Belts, AI Cameras Are Keeping Humans Safe From Leopards In Pune",Cameras equipped with AI technology and special bands to protect the neck are among the measures introduced by forest officials in Pune&#039;s Junnar area which witnessed nine deaths due to leopard attacks in the past one year.,NDTV News,16-02-2025 11:19,https://www.ndtv.com/pune-news/how-neck-belts-ai-cameras-are-keeping-humans-safe-from-leopards-in-pune-7722040,-0.005952381,Pending,17,Medium,9.131080411,Medium
Everything You Should Eat at Caribbean Carnival,"A Caribbean food expertï¿½s guide to doubles in Trinidad, curry goat in Jamaica, jerk chicken in Brooklyn, and other foods she recommends travelers seek out during Carnival celebrations.",Eater,18-02-2025 21:30,https://www.eater.com/24359589/caribbean-carnival-food-guide-trinidad-jamaica,-0.3625,Delayed,11,High,9.864963423,High
Resource-Focused Manufacturing Initiatives - Nirani Sugars Invests in a New Polylactic Acid Facility (TrendHunter.com),(TrendHunter.com) Nirani Sugars has announced a significant investment in Karnatakaï¿½s industrial landscape with plans to establish a cutting-edge Polylactic Acid (PLA) manufacturing facility in Bagalkot. The...,Cleanthesky.com,12-02-2025 23:07,https://www.cleanthesky.com/innovation/nirani-sugars,0.375,On Time,21,Low,9.81295352,Medium
Imani Perryï¿½s Blue Notes,"The story goes that the lyrics to ï¿½Black and Blue,ï¿½ the jazz standard popularized by Louis Armstrong, were written at gunpoint. In 1929, the songwriter Andy Rafaz (born Andriamanantena Paul Razafinkarefo, son of Henri and Jennie Razafinkarefo, a nephew of a Mï¿½",The New Republic,05-02-2025 16:30,https://newrepublic.com/article/190409/imani-perrys-blue-notes,-0.055555556,On Time,27,Medium,9.970753102,Medium
Budget: A missed opportunity is the biggest cost burden that India must bear,It did a good job on many fronts but let the country down on badly needed market reforms in Indiaï¿½s farm sector. When will state intervention recede so that price signals get a chance to work?,Livemint,16-02-2025 16:00,https://www.livemint.com/opinion/online-views/budget-2025-nirmala-sitharaman-farm-sector-agriculture-sector-msp-dbt-viksit-bharat-cotton-productivity-fertilizers-soil-11739438634290.html,0.086111111,Delivered,16,High,9.999971438,High
"12 Best Boots for Men in 2025: Tough, Stylish, and Built to Last","The perfect pair of boots isnï¿½t just a matter of styleï¿½itï¿½s about durability, function, and a...
The post 12 Best Boots for Men in 2025: Tough, Stylish, and Built to Last appeared first on Carryology.",Carryology.com,11-02-2025 09:49,https://www.carryology.com/liking/the-best-boots-for-men-in-2025/,0.393518519,On Time,9,Low,8.221273649,Medium
Man Who Saved Rishabh Pant Made Video Before Taking Poison With Girlfriend,"Days after Rajat Kumar, the man who once saved cricketer Rishabh Pant&#039;s life, and his girlfriend attempted suicide together, a disturbing video has emerged of the couple before they consumed poison.",NDTV News,15-02-2025 12:07,https://www.ndtv.com/india-news/video-emerges-after-man-who-saved-rishabh-pant-took-poison-with-girlfriend-7715540,-0.5,Delayed,23,Medium,5.409520111,Medium
Members-Only Club Quorum's New Culinary Gem '689' Is Fine Dining Redefined,My experience at 689 was indulgent and fulfilling. Here's what all I tried and loved.,NDTV News,17-02-2025 23:42,https://food.ndtv.com/reviews/members-only-club-quorums-new-culinary-gem-689-is-fine-dining-redefined-7733626,0.7,Delivered,26,High,9.555282721,High
Will Ferrell tells Oscars to ï¿½suck itï¿½ after ï¿½Will & Harperï¿½ doc gets snubbed: ï¿½Losersï¿½,"""Will & Harper"" was shortlisted for two Oscars, but ultimately got zero nominations.",New York Post,06-02-2025 00:59,https://nypost.com/2025/02/05/entertainment/will-ferrell-tells-oscars-to-suck-it-after-doc-snub-losers/,0.0,On Time,4,Low,8.253493675,Medium
"Oscars 2025 Predictions: ï¿½Anora,ï¿½ Mikey Madison, Adrien Brody, ï¿½Iï¿½m Still Hereï¿½","Mercifully, the 97th Academy Awards season is about to come to a close. A year where three ï¿½lateï¿½ entries impacted the race more than expected (ï¿½Wicked,ï¿½ ï¿½Nosferatu,ï¿½ ï¿½A Complete Unknownï¿½) and politics may influence several winners more than expected (and notï¿½",Theplaylist.net,27-02-2025 23:18,https://theplaylist.net/oscars-2025-predictions-anora-mikey-madison-adrien-brody-im-still-here-20250227/,0.0625,In Transit,26,Medium,6.947856807,Medium
Indian sugar exports turn bitter for importers as domestic prices surge,"Slow sugar export from India due to mills seeking higher prices, despite rising domestic prices and global competition.",BusinessLine,05-02-2025 09:00,https://www.thehindubusinessline.com/economy/agri-business/indian-sugar-exports-turn-bitter-for-importers-as-domestic-prices-surge/article69181155.ece,-0.035,Pending,4,High,1.115511735,High
"The Best Crib Mattresses, After Testing 21 Top Models",We tested nearly two dozen beds to find the best crib mattresses in 2025. See our top 5 picks.,Forbes,19-02-2025 01:07,https://www.forbes.com/sites/forbes-personal-shopper/article/the-best-crib-mattress/,0.533333333,On Time,15,Low,7.893029537,Medium
Can nutritional yeast go bad?,"Can Nutritional Yeast Go Bad? Nutritional yeast is a popular vegan ingredient that has gained a lot of attention in [ï¿½]
The post Can nutritional yeast go bad? appeared first on Life Sciences World.",Lifesciencesworld.com,06-02-2025 08:44,https://lifesciencesworld.com/can-nutritional-yeast-go-bad/,-0.1375,Pending,11,Medium,2.393756564,Low
How to print on edible paper?,"How to Print on Edible Paper: A Comprehensive Guide Introduction Edible paper, also known as food-grade paper or food packaging [ï¿½]
The post How to print on edible paper? appeared first on Life Sciences World.",Lifesciencesworld.com,09-02-2025 18:08,https://lifesciencesworld.com/how-to-print-on-edible-paper/,0.25,Delivered,29,High,6.346352346,High
